,Year,Artist,Track,Length,Genre,Date Entered Rankings,Date Peaked,Days to Peak,Total Weeks,Week,Rank
9534,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,217,53,x31st.week,4.0
9538,2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,182,44,x31st.week,5.0
9840,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,x32nd.week,3.0
9844,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,168,53,x32nd.week,4.0
9851,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,217,53,x32nd.week,3.0
10157,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,x33rd.week,4.0
10161,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,168,53,x33rd.week,2.0
10168,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,217,53,x33rd.week,3.0
10474,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,x34th.week,5.0
10478,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,168,53,x34th.week,5.0
10485,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,217,53,x34th.week,3.0
10791,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,x35th.week,5.0
10802,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,217,53,x35th.week,4.0
10806,2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,182,44,x35th.week,5.0
11108,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,x36th.week,5.0
11119,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,217,53,x36th.week,5.0
11425,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,x37th.week,5.0
11436,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,217,53,x37th.week,5.0
12055,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x39th.week,3.0
12372,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x40th.week,1.0
12689,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x41st.week,1.0
13006,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x42nd.week,2.0
13323,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x43rd.week,3.0
13640,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x44th.week,4.0
13957,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x45th.week,4.0
14274,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x46th.week,5.0
